id_aluno,curso_id,prova_1,prova_2,trabalho,projeto,horas_estudo,periodo_letivo,metas_alcancadas,comportamento_frequencia
1207,1,4.6,4.1,8.7,6.2,30,SEM_2023-2,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1208,2,8.2,4.1,10,6.8,20,SEM_2024-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:90%|Part:REGULAR
1209,3,8,NA,7.5,6.7,12,SEM_2025-2,Quiz:OK;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1210,1,4.3,9.5,6,8.2,13,SEM_2025-1,Quiz:Pendente;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1211,2,8.8,6.8,8,5.1,18,SEM_2023-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:95%|Part:BOM
1212,3,7.1,6.3,8.1,8.8,2,SEM_2025-1,Quiz:OK;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1213,1,6.6,7.3,8.3,7.1,5,SEM_2024-1,Quiz:OK;Trabalho:OK,Freq:90%|Part:REGULAR
1214,1,8.7,9.2,5.9,7.2,28,SEM_2025-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:95%|Part:BOM
1215,2,6.5,7.9,9.5,7.4,29,SEM_2024-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:95%|Part:BOM
1216,5,6.9,5.4,8.1,7.2,6,SEM_2025-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:80%|Part:RUIM
1217,1,5.1,8.6,5.2,7.5,15,SEM_2025-2,Quiz:Pendente;Trabalho:Pendente,Freq:95%|Part:BOM
1218,1,5.9,4.8,8.4,6.7,27,SEM_2023-2,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1219,3,9.1,5,6,7.3,30,SEM_2023-1,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1220,4,5.1,7.7,5.1,7,15,SEM_2023-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:100%|Part:EXCELENTE
1221,2,6.5,5.4,7.8,NA,22,SEM_2025-1,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1222,2,9.9,8.2,9.1,8.1,4,SEM_2024-2,Quiz:OK;Trabalho:OK,Freq:90%|Part:REGULAR
1223,5,5.4,6.1,9.3,6.2,19,SEM_2023-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:100%|Part:EXCELENTE
1224,5,9.5,5.7,5.5,7.5,26,SEM_2025-1,Quiz:OK;Trabalho:Pendente,Freq:95%|Part:BOM
1225,2,9.5,10,8.3,8,4,SEM_2025-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:80%|Part:RUIM
1226,5,4.5,4.2,8.6,5.1,12,SEM_2023-1,Quiz:OK;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1227,3,6.8,7.9,6.5,7.6,8,SEM_2023-2,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1228,2,7,4.2,9.9,6.2,15,SEM_2023-1,Quiz:OK;Trabalho:OK,Freq:80%|Part:RUIM
1229,5,5.9,8.6,6.4,7,17,SEM_2024-1,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1230,2,4.3,5.4,5.3,9.1,6,SEM_2023-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:100%|Part:EXCELENTE
1231,4,5.5,4.5,7.6,6.6,27,SEM_2023-1,Quiz:Pendente;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1232,1,4.6,7.9,8.5,7.4,22,SEM_2024-2,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1233,2,5.4,8.4,6.2,5.1,14,SEM_2025-2,Quiz:OK;Trabalho:Pendente,Freq:95%|Part:BOM
1234,1,8.8,8.1,6.7,NA,17,SEM_2023-1,Quiz:OK;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1235,5,9.4,4.3,7.8,NA,15,SEM_2024-1,Quiz:OK;Trabalho:Pendente,Freq:90%|Part:REGULAR
1236,1,4.3,5.8,9.4,6.6,8,SEM_2024-2,Quiz:Pendente;Trabalho:Pendente,Freq:80%|Part:RUIM
1237,2,5.8,6.7,8.7,6,11,SEM_2024-1,Quiz:OK;Trabalho:OK,Freq:100%|Part:EXCELENTE
1238,4,9.9,NA,6,6.5,9,SEM_2024-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:100%|Part:EXCELENTE
1239,5,7.2,8.9,6.3,9.8,28,SEM_2025-2,Quiz:Pendente;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1240,2,7.8,NA,7.6,5.4,18,SEM_2024-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:100%|Part:EXCELENTE
1241,5,4,7.7,8.8,7.3,25,SEM_2025-2,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1242,3,6.9,9.9,8.1,5.3,4,SEM_2024-2,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:90%|Part:REGULAR
1243,1,9.9,NA,7.5,7.7,28,SEM_2023-1,Quiz:Pendente;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1244,3,6.3,5.3,8,5.7,24,SEM_2023-1,Quiz:OK;Trabalho:Pendente,Freq:80%|Part:RUIM
1245,2,4.6,4,8.8,8.2,20,SEM_2025-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:80%|Part:RUIM
1246,4,6.8,9.9,7.7,6.3,3,SEM_2025-2,Quiz:OK;Trabalho:OK,Freq:95%|Part:BOM
1247,5,9.8,9.3,9.5,8.5,4,SEM_2023-1,Quiz:OK;Trabalho:OK;Projeto:OK,Freq:90%|Part:REGULAR
1248,1,6.1,9.5,9.7,6.7,24,SEM_2024-1,Quiz:Pendente;Trabalho:Pendente,Freq:100%|Part:EXCELENTE
1249,5,8.8,6.5,9.6,5,19,SEM_2023-2,Quiz:Pendente;Trabalho:Pendente,Freq:80%|Part:RUIM
1250,2,8.8,8.5,8.8,6.5,16,SEM_2024-2,Quiz:OK;Trabalho:OK,Freq:80%|Part:RUIM
